,date,state,PM2.5,CO,NO2,PM10,SO2
4855,2020-07-01,Alaska,3.7,NA,NA,NA,NA
4882,2020-07-02,Alaska,6.5,NA,NA,NA,NA
4909,2020-07-03,Alaska,7.8,NA,NA,NA,NA
4936,2020-07-04,Alaska,7.2,NA,NA,NA,NA
4963,2020-07-05,Alaska,7.6,NA,NA,NA,NA
3,2020-01-01,Arizona,11.3,0.6,31,11,41.1
30,2020-01-02,Arizona,4.7,0.9,36,4,21.5
57,2020-01-03,Arizona,6.5,0.8,37,6,67.3
84,2020-01-04,Arizona,9.8,0.9,41,10,1.3
111,2020-01-05,Arizona,6.5,1.1,34,13,3.3
138,2020-01-06,Arizona,6.3,0.8,41,8,31.1
165,2020-01-07,Arizona,4,0.5,44,10,8.9
192,2020-01-08,Arizona,4.9,0.9,35,12,0.9
219,2020-01-09,Arizona,5.2,0.9,30,5,1.3
246,2020-01-10,Arizona,3.2,0.7,37,7,6
273,2020-01-11,Arizona,5.2,0.8,38,6,56.2
300,2020-01-12,Arizona,7.7,0.8,41,9,22.1
327,2020-01-13,Arizona,9.3,0.8,48,9,1.7
354,2020-01-14,Arizona,6.1,0.7,47,4,1.4
381,2020-01-15,Arizona,10.4,1,46,18,50.4
408,2020-01-16,Arizona,12.6,1,40,3,24.3
435,2020-01-17,Arizona,4.9,0.7,38,5,5.8
462,2020-01-18,Arizona,7.4,0.7,42,9,10.4
489,2020-01-19,Arizona,8.1,0.7,41,8,1.1
516,2020-01-20,Arizona,6.7,0.6,39,18,0.9
543,2020-01-21,Arizona,4.1,0.6,30,3,1.6
570,2020-01-22,Arizona,3.6,0.7,35,5,5.8
597,2020-01-23,Arizona,8.7,0.8,38,7,69.7
624,2020-01-24,Arizona,8.2,0.9,43,9,11.2
651,2020-01-25,Arizona,8.2,1.1,38,11,69.6
678,2020-01-26,Arizona,10.3,0.8,45,15,34.1
705,2020-01-27,Arizona,3.7,0.9,35,9,5.8
732,2020-01-28,Arizona,5.1,0.6,43,11,3.1
759,2020-01-29,Arizona,5.1,0.6,44,10,20.9
786,2020-01-30,Arizona,3.2,0.5,43,6,17.5
813,2020-01-31,Arizona,5.6,0.7,43,8,13.9
840,2020-02-01,Arizona,4.9,0.8,46,10,23.2
867,2020-02-02,Arizona,4.9,0.5,41,5,3
894,2020-02-03,Arizona,6.1,0.4,42,11,1
921,2020-02-04,Arizona,2.6,0.4,40,8,5.7
948,2020-02-05,Arizona,4,0.5,41,9,16.2
975,2020-02-06,Arizona,8.6,0.4,41,12,8.2
1002,2020-02-07,Arizona,7.9,0.5,48,15,6.4
1029,2020-02-08,Arizona,11.1,0.8,52,5,39.7
1056,2020-02-09,Arizona,5.4,0.8,32,6,8.6
1083,2020-02-10,Arizona,5.3,0.4,38,7,2
1110,2020-02-11,Arizona,3.5,0.4,29,3,1.9
1137,2020-02-12,Arizona,3.4,0.4,36,11,4.8
1164,2020-02-13,Arizona,6.2,0.5,45,13,18.7
1191,2020-02-14,Arizona,9.5,0.5,40,16,1.1
1218,2020-02-15,Arizona,5.5,0.5,44,19,18
1245,2020-02-16,Arizona,10.6,0.6,47,16,18.2
1272,2020-02-17,Arizona,12.2,0.5,49,17,33.5
1299,2020-02-18,Arizona,17.4,0.6,56,11,19.7
1326,2020-02-19,Arizona,13.4,0.6,47,18,38
1353,2020-02-20,Arizona,15.5,0.5,54,12,31.9
1380,2020-02-21,Arizona,15.1,0.4,41,15,1
1407,2020-02-22,Arizona,3.4,0.4,19,4,0.9
1434,2020-02-23,Arizona,3.3,0.4,32,5,0.9
1461,2020-02-24,Arizona,4.2,0.5,31,10,12.6
1488,2020-02-25,Arizona,4.2,0.5,33,12,14.7
1515,2020-02-26,Arizona,3.6,0.4,45,10,1
1542,2020-02-27,Arizona,4.7,0.5,49,7,9.2
1569,2020-02-28,Arizona,6.2,0.5,58,16,8.7
1596,2020-02-29,Arizona,4.2,0.5,35,13,7.7
1623,2020-03-01,Arizona,5.8,0.5,35,6,1
1650,2020-03-02,Arizona,3.9,0.5,31,10,18.7
1677,2020-03-03,Arizona,1.2,0.5,30,7,4.7
1704,2020-03-04,Arizona,4.2,0.5,39,14,30.5
1731,2020-03-05,Arizona,7.3,0.5,45,14,23.3
1758,2020-03-06,Arizona,7.7,0.5,44,9,1
1785,2020-03-07,Arizona,7.7,0.5,38,13,1
1812,2020-03-08,Arizona,7.4,0.4,31,7,1.3
1838,2020-03-09,Arizona,5.6,0.5,35,6,0.9
1864,2020-03-10,Arizona,7.4,0.5,32,6,12.8
1891,2020-03-11,Arizona,1.7,0.5,22,3,1.7
1918,2020-03-12,Arizona,2,0.6,24,3,1
1945,2020-03-13,Arizona,2.1,0.4,26,3,1
